,variable,year,population
980,New Mexico,1880,9524
981,Louisiana,1880,421
982,Connecticut,1880,1226
983,Arkansas,1880,759
984,China,1880,610
985,Maine,1880,2621
986,Alabama,1880,453
987,Denmark,1880,511
988,Rhode Island,1880,380
989,West Prussia,1880,3
990,Georgia,1880,925
991,Vermont,1880,1571
992,Nova Scotia,1880,631
993,Delaware,1880,234
994,Norway,1880,360
995,Florida,1880,66
996,North Carolina,1880,861
997,New Brunswick,1880,270
998,Texas,1880,1053
999,Australia,1880,46
1000,Mississippi,1880,492
1001,Nevada,1880,87
1002,Montana,1880,50
1003,Hungary,1880,48
1004,Arizona,1880,13
1005,At sea,1880,29
1006,Prince Edward Island,1880,112
1007,Wyoming,1880,171
1008,Washington,1880,28
1009,Sweden,1880,2176
1010,Hamburg,1880,47
1011,South Carolina,1880,201
1012,Berlin,1880,15
1013,Quebec,1880,23
1014,British Columbia,1880,5
1015,Utah,1880,230
1016,Malta,1880,2
1017,Chile,1880,4
1018,Portugal,1880,12
1019,Northern Ireland,1880,1
1020,Mexico,1880,190
1021,District of Columbia,1880,156
1022,Hesse-Nassau,1880,13
1023,West Virginia,1880,410
1024,Schleswig,1880,108
1025,"Africa, ns/nec",1880,8
1026,Canada West,1880,56
1027,Wyoming Territory,1880,69
1028,Mecklenburg,1880,36
1029,Luxembourg,1880,9
1030,"United States, ns",1880,40
1031,Nordrhein-Westfalen,1880,2
1032,Westphalia,1880,13
1033,"Abroad, ns",1880,5
1034,"South America, ns",1880,10
1035,Oregon,1880,80
1036,West Indies,1880,5
1037,Indian Territory,1880,82
1038,Austria-Vienna,1880,1
1039,Cuba,1880,16
1040,Brazil,1880,9
1041,Dakota Territory,1880,48
1042,Spain,1880,32
1043,Madeira Islands,1880,1
1044,Japan,1880,1
1045,Isle of Man,1880,45
1046,Alsace,1880,55
1047,"Europe, ns.",1880,12
1048,South Dakota,1880,8
1049,Waldeck,1880,2
